Year,Month,Region,County,Beneficiaries, Benefit Amounts (Dollars) 
2020,10,Capital,Albany,7600,7300000
2020,10,Western New York,Allegany,900,800000
2020,10,New York City,Bronx,79600,82290000
2020,10,Southern Tier,Broome,5200,4330000
2020,10,Western New York,Cattaraugus,2200,1560000
2020,10,Central New York,Cayuga,1700,1470000
2020,10,Western New York,Chautauqua,3200,2580000
2020,10,Southern Tier,Chemung,2300,1910000
2020,10,Southern Tier,Chenango,1000,960000
2020,10,North Country,Clinton,1800,1440000
2020,10,Capital,Columbia,1100,1100000
2020,10,Central New York,Cortland,1100,1000000
2020,10,Southern Tier,Delaware,800,680000
2020,10,Hudson Valley,Dutchess,7000,6980000
2020,10,Western New York,Erie,30800,26350000
2020,10,North Country,Essex,600,470000
2020,10,North Country,Franklin,1000,800000
2020,10,Mohawk Valley,Fulton,1200,1110000
2020,10,Finger Lakes,Genesee,1500,1250000
2020,10,Capital,Greene,1100,1030000
2020,10,North Country,Hamilton,100,50000
2020,10,Mohawk Valley,Herkimer,1700,1910000
2020,10,North Country,Jefferson,2100,1870000
2020,10,New York City,Kings,116800,123280000
2020,10,North Country,Lewis,500,480000
2020,10,Finger Lakes,Livingston,1300,1140000
2020,10,Central New York,Madison,1400,1240000
2020,10,Finger Lakes,Monroe,24000,22850000
2020,10,Mohawk Valley,Montgomery,1500,1480000
2020,10,Long Island,Nassau,41900,43050000
2020,10,New York City,New York,60900,68970000
2020,10,Western New York,Niagara,7100,5780000
2020,10,Mohawk Valley,Oneida,5900,5320000
2020,10,Central New York,Onondaga,13600,11700000
2020,10,Finger Lakes,Ontario,2500,2190000
2020,10,Hudson Valley,Orange,10000,9540000
2020,10,Finger Lakes,Orleans,1100,870000
2020,10,Central New York,Oswego,3100,2710000
2020,10,Mohawk Valley,Otsego,1200,1080000
2020,10,Out-of-State Resident,Out-of-State,48700,65610000
2020,10,Hudson Valley,Putnam,2100,2200000
2020,10,New York City,Queens,112400,108530000
2020,10,Capital,Rensselaer,3700,3480000
2020,10,New York City,Richmond,16100,16050000
2020,10,Hudson Valley,Rockland,7600,7790000
2020,10,Capital,Saratoga,4900,4670000
2020,10,Capital,Schenectady,5000,4860000
2020,10,Mohawk Valley,Schoharie,600,540000
2020,10,Southern Tier,Schuyler,400,330000
2020,10,Finger Lakes,Seneca,700,630000
2020,10,Southern Tier,Steuben,2400,2060000
2020,10,North Country,St. Lawrence,1900,1590000
2020,10,Long Island,Suffolk,42600,42900000
2020,10,Hudson Valley,Sullivan,2100,2040000
2020,10,Southern Tier,Tioga,1000,880000
2020,10,Southern Tier,Tompkins,1800,1640000
2020,10,Hudson Valley,Ulster,4800,4440000
2020,10,Unknown Geography,Unknown,500,560000
2020,10,Capital,Warren,1700,1450000
2020,10,Capital,Washington,1200,1070000
2020,10,Finger Lakes,Wayne,2200,1980000
2020,10,Hudson Valley,Westchester,27100,29420000
2020,10,Finger Lakes,Wyoming,900,700000
2020,10,Finger Lakes,Yates,400,330000
2020,9,Capital,Albany,11900,12250000
2020,9,Western New York,Allegany,1200,1270000
2020,9,New York City,Bronx,136000,157620000
2020,9,Southern Tier,Broome,7600,6950000
2020,9,Western New York,Cattaraugus,3100,2710000
2020,9,Central New York,Cayuga,2800,2580000
2020,9,Western New York,Chautauqua,4700,4150000
2020,9,Southern Tier,Chemung,3300,3010000
2020,9,Southern Tier,Chenango,1400,1400000
2020,9,North Country,Clinton,2600,2350000
2020,9,Capital,Columbia,1800,1880000
2020,9,Central New York,Cortland,1500,1420000
2020,9,Southern Tier,Delaware,1200,1160000
2020,9,Hudson Valley,Dutchess,11600,12770000
2020,9,Western New York,Erie,48600,46200000
2020,9,North Country,Essex,900,770000
2020,9,North Country,Franklin,1500,1370000
2020,9,Mohawk Valley,Fulton,1800,1820000
2020,9,Finger Lakes,Genesee,2400,2130000
2020,9,Capital,Greene,1800,1870000
2020,9,North Country,Hamilton,100,70000
2020,9,Mohawk Valley,Herkimer,1900,1950000
2020,9,North Country,Jefferson,3200,2870000
2020,9,New York City,Kings,202900,245560000
2020,9,North Country,Lewis,700,650000
2020,9,Finger Lakes,Livingston,2000,1980000
2020,9,Central New York,Madison,2200,2150000
2020,9,Finger Lakes,Monroe,36300,36520000
2020,9,Mohawk Valley,Montgomery,2200,2250000
2020,9,Long Island,Nassau,73500,86400000
2020,9,New York City,New York,107100,137930000
2020,9,Western New York,Niagara,11200,10000000
2020,9,Mohawk Valley,Oneida,8900,8560000
2020,9,Central New York,Onondaga,21400,20720000
2020,9,Finger Lakes,Ontario,3900,3870000
2020,9,Hudson Valley,Orange,16600,17880000
2020,9,Finger Lakes,Orleans,1600,1390000
2020,9,Central New York,Oswego,4500,4290000
2020,9,Mohawk Valley,Otsego,1800,1700000
2020,9,Out-of-State Resident,Out-of-State,79100,121110000
2020,9,Hudson Valley,Putnam,3800,4450000
2020,9,New York City,Queens,201400,240280000
2020,9,Capital,Rensselaer,5900,6010000
2020,9,New York City,Richmond,28900,32890000
2020,9,Hudson Valley,Rockland,13200,14660000
2020,9,Capital,Saratoga,8300,8440000
2020,9,Capital,Schenectady,8000,8280000
2020,9,Mohawk Valley,Schoharie,800,860000
2020,9,Southern Tier,Schuyler,500,540000
2020,9,Finger Lakes,Seneca,1200,1170000
2020,9,Southern Tier,Steuben,3400,3280000
2020,9,North Country,St. Lawrence,2700,2470000
2020,9,Long Island,Suffolk,75200,83920000
2020,9,Hudson Valley,Sullivan,3900,4220000
2020,9,Southern Tier,Tioga,1600,1500000
2020,9,Southern Tier,Tompkins,2900,2840000
2020,9,Hudson Valley,Ulster,7700,8060000
2020,9,Unknown Geography,Unknown,700,920000
2020,9,Capital,Warren,2500,2380000
2020,9,Capital,Washington,1800,1830000
2020,9,Finger Lakes,Wayne,3300,3400000
2020,9,Hudson Valley,Westchester,46400,56370000
2020,9,Finger Lakes,Wyoming,1300,1160000
2020,9,Finger Lakes,Yates,600,580000
2020,8,Capital,Albany,13600,15780000
2020,8,Western New York,Allegany,1500,1650000
2020,8,New York City,Bronx,140200,193790000
2020,8,Southern Tier,Broome,9000,8980000
2020,8,Western New York,Cattaraugus,3700,3600000
2020,8,Central New York,Cayuga,3400,3650000
2020,8,Western New York,Chautauqua,5600,5370000
2020,8,Southern Tier,Chemung,3900,4040000
2020,8,Southern Tier,Chenango,1600,1750000
2020,8,North Country,Clinton,3700,3460000
2020,8,Capital,Columbia,2100,2420000
2020,8,Central New York,Cortland,1900,2010000
2020,8,Southern Tier,Delaware,1300,1460000
2020,8,Hudson Valley,Dutchess,13600,16640000
2020,8,Western New York,Erie,55800,59290000
2020,8,North Country,Essex,1100,1120000
2020,8,North Country,Franklin,1900,2090000
2020,8,Mohawk Valley,Fulton,2100,2390000
2020,8,Finger Lakes,Genesee,2800,2840000
2020,8,Capital,Greene,2100,2460000
2020,8,North Country,Hamilton,100,110000
2020,8,Mohawk Valley,Herkimer,2500,2820000
2020,8,North Country,Jefferson,3800,3890000
2020,8,New York City,Kings,217500,302620000
2020,8,North Country,Lewis,800,820000
2020,8,Finger Lakes,Livingston,2400,2600000
2020,8,Central New York,Madison,2800,3060000
2020,8,Finger Lakes,Monroe,41600,46020000
2020,8,Mohawk Valley,Montgomery,2500,2900000
2020,8,Long Island,Nassau,83800,111150000
2020,8,New York City,New York,114600,170940000
2020,8,Western New York,Niagara,13000,13420000
2020,8,Mohawk Valley,Oneida,10500,11200000
2020,8,Central New York,Onondaga,24800,26880000
2020,8,Finger Lakes,Ontario,4600,5020000
2020,8,Hudson Valley,Orange,19200,23540000
2020,8,Finger Lakes,Orleans,1900,1870000
2020,8,Central New York,Oswego,5500,5860000
2020,8,Mohawk Valley,Otsego,2000,2190000
2020,8,Out-of-State Resident,Out-of-State,85200,141220000
2020,8,Hudson Valley,Putnam,4300,5780000
2020,8,New York City,Queens,218800,300300000
2020,8,Capital,Rensselaer,6800,7930000
2020,8,New York City,Richmond,31300,41630000
2020,8,Hudson Valley,Rockland,15000,18940000
2020,8,Capital,Saratoga,9700,11190000
2020,8,Capital,Schenectady,8900,10660000
2020,8,Mohawk Valley,Schoharie,1000,1110000
2020,8,Southern Tier,Schuyler,700,750000
2020,8,Finger Lakes,Seneca,1400,1610000
2020,8,Southern Tier,Steuben,4100,4180000
2020,8,North Country,St. Lawrence,3600,3790000
2020,8,Long Island,Suffolk,87000,112720000
2020,8,Hudson Valley,Sullivan,4300,5940000
2020,8,Southern Tier,Tioga,1900,2070000
2020,8,Southern Tier,Tompkins,3400,3710000
2020,8,Hudson Valley,Ulster,8900,10570000
2020,8,Unknown Geography,Unknown,800,1080000
2020,8,Capital,Warren,2900,3090000
2020,8,Capital,Washington,2200,2310000
2020,8,Finger Lakes,Wayne,3800,4350000
2020,8,Hudson Valley,Westchester,51000,71170000
2020,8,Finger Lakes,Wyoming,1600,1580000
2020,8,Finger Lakes,Yates,800,820000
2020,7,Capital,Albany,15500,17580000
2020,7,Western New York,Allegany,2000,1900000
2020,7,New York City,Bronx,150000,201140000
2020,7,Southern Tier,Broome,10500,10190000
2020,7,Western New York,Cattaraugus,4800,4290000
2020,7,Central New York,Cayuga,3900,4090000
2020,7,Western New York,Chautauqua,7500,6400000
2020,7,Southern Tier,Chemung,4900,4850000
2020,7,Southern Tier,Chenango,1900,1990000
2020,7,North Country,Clinton,4500,4260000
2020,7,Capital,Columbia,2400,2850000
2020,7,Central New York,Cortland,2300,2390000
2020,7,Southern Tier,Delaware,1400,1650000
2020,7,Hudson Valley,Dutchess,15800,19310000
2020,7,Western New York,Erie,66300,67930000
2020,7,North Country,Essex,1400,1460000
2020,7,North Country,Franklin,2300,2400000
2020,7,Mohawk Valley,Fulton,2500,2630000
2020,7,Finger Lakes,Genesee,3200,3180000
2020,7,Capital,Greene,2500,2770000
2020,7,North Country,Hamilton,100,130000
2020,7,Mohawk Valley,Herkimer,2800,2730000
2020,7,North Country,Jefferson,4800,4590000
2020,7,New York City,Kings,238800,332780000
2020,7,North Country,Lewis,1000,960000
2020,7,Finger Lakes,Livingston,3100,3040000
2020,7,Central New York,Madison,3500,3750000
2020,7,Finger Lakes,Monroe,49500,53150000
2020,7,Mohawk Valley,Montgomery,2900,3160000
2020,7,Long Island,Nassau,94600,126670000
2020,7,New York City,New York,125200,187400000
2020,7,Western New York,Niagara,16000,15680000
2020,7,Mohawk Valley,Oneida,12600,12920000
2020,7,Central New York,Onondaga,29100,30990000
2020,7,Finger Lakes,Ontario,5600,6030000
2020,7,Hudson Valley,Orange,22300,26810000
2020,7,Finger Lakes,Orleans,2300,2060000
2020,7,Central New York,Oswego,6500,6550000
2020,7,Mohawk Valley,Otsego,2300,2440000
2020,7,Out-of-State Resident,Out-of-State,94100,157560000
2020,7,Hudson Valley,Putnam,5000,6530000
2020,7,New York City,Queens,239000,326090000
2020,7,Capital,Rensselaer,8100,9110000
2020,7,New York City,Richmond,34700,45040000
2020,7,Hudson Valley,Rockland,17100,22100000
2020,7,Capital,Saratoga,12100,13460000
2020,7,Capital,Schenectady,10100,11650000
2020,7,Mohawk Valley,Schoharie,1300,1380000
2020,7,Southern Tier,Schuyler,1000,970000
2020,7,Finger Lakes,Seneca,1600,1770000
2020,7,Southern Tier,Steuben,6000,5480000
2020,7,North Country,St. Lawrence,4200,4260000
2020,7,Long Island,Suffolk,100600,127990000
2020,7,Hudson Valley,Sullivan,4700,6090000
2020,7,Southern Tier,Tioga,2200,2350000
2020,7,Southern Tier,Tompkins,4300,4710000
2020,7,Hudson Valley,Ulster,10500,12030000
2020,7,Unknown Geography,Unknown,1400,8380000
2020,7,Capital,Warren,3700,3660000
2020,7,Capital,Washington,2800,2870000
2020,7,Finger Lakes,Wayne,4500,5020000
2020,7,Hudson Valley,Westchester,56700,78140000
2020,7,Finger Lakes,Wyoming,1900,1780000
2020,7,Finger Lakes,Yates,1000,970000
2020,6,Capital,Albany,17500,24070000
2020,6,Western New York,Allegany,2200,2680000
2020,6,New York City,Bronx,145400,249000000
2020,6,Southern Tier,Broome,11900,13890000
2020,6,Western New York,Cattaraugus,5500,6680000
2020,6,Central New York,Cayuga,4600,5630000
2020,6,Western New York,Chautauqua,8500,9070000
2020,6,Southern Tier,Chemung,5900,7000000
2020,6,Southern Tier,Chenango,2300,2700000
2020,6,North Country,Clinton,5500,6400000
2020,6,Capital,Columbia,2800,3980000
2020,6,Central New York,Cortland,2800,3330000
2020,6,Southern Tier,Delaware,1700,2300000
2020,6,Hudson Valley,Dutchess,18300,26630000
2020,6,Western New York,Erie,78000,97360000
2020,6,North Country,Essex,1800,2340000
2020,6,North Country,Franklin,2700,3610000
2020,6,Mohawk Valley,Fulton,2900,3790000
2020,6,Finger Lakes,Genesee,3900,4600000
2020,6,Capital,Greene,2800,3800000
2020,6,North Country,Hamilton,200,230000
2020,6,Mohawk Valley,Herkimer,3100,3760000
2020,6,North Country,Jefferson,5900,6670000
2020,6,New York City,Kings,237800,413740000
2020,6,North Country,Lewis,1300,1550000
2020,6,Finger Lakes,Livingston,3700,4480000
2020,6,Central New York,Madison,4300,5430000
2020,6,Finger Lakes,Monroe,54800,69760000
2020,6,Mohawk Valley,Montgomery,3300,4400000
2020,6,Long Island,Nassau,106300,173200000
2020,6,New York City,New York,124900,230900000
2020,6,Western New York,Niagara,19800,24120000
2020,6,Mohawk Valley,Oneida,14700,17790000
2020,6,Central New York,Onondaga,33500,42860000
2020,6,Finger Lakes,Ontario,6800,8540000
2020,6,Hudson Valley,Orange,25500,37100000
2020,6,Finger Lakes,Orleans,2500,2830000
2020,6,Central New York,Oswego,7900,9560000
2020,6,Mohawk Valley,Otsego,2800,3490000
2020,6,Out-of-State Resident,Out-of-State,98100,198460000
2020,6,Hudson Valley,Putnam,5900,9290000
2020,6,New York City,Queens,250300,429660000
2020,6,Capital,Rensselaer,9200,12510000
2020,6,New York City,Richmond,36900,59760000
2020,6,Hudson Valley,Rockland,18500,28990000
2020,6,Capital,Saratoga,14900,20160000
2020,6,Capital,Schenectady,11400,15950000
